ページ番号,使用するコマ割りテンプレ,漫画作成のプロンプト,コマ別テキストJSON,outfit_id
27,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ3: 2コマ: 上段小、下段大
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「数字を見よう。売上、利益率、現金、設備投資だ」
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「株価だけ見ていたら気づけませんでした」
2コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］強気・標準・弱気の三つのシナリオ
2コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］期待を数字にすると、投資額も見えてくる","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""数字を見よう。売上、利益率、現金、設備投資だ""}, {""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""株価だけ見ていたら気づけませんでした""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""強気・標準・弱気の三つのシナリオ""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""期待を数字にすると、投資額も見えてくる""}]",business_default
28,テンプレ7,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ7: 3コマ: 上段左右2コマ + 下段1コマ。読み順は上段右、上段左、下段
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「私なら、資産全体の一部で試します」
2コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「それが長く続けるための距離感だ」
3コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］生活資金、分散、売る条件を確認
3コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］AIの未来より先に、自分のルールを決める","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""私なら、資産全体の一部で試します""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""それが長く続けるための距離感だ""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""生活資金、分散、売る条件を確認""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""AIの未来より先に、自分のルールを決める""}]",business_default
29,テンプレ4,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ4: 2コマ: 上段大、下段小
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「私なら、資産全体の一部で試します」
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「それが長く続けるための距離感だ」
2コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］生活資金、分散、売る条件を確認
2コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］AIの未来より先に、自分のルールを決める","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""私なら、資産全体の一部で試します""}, {""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""それが長く続けるための距離感だ""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""生活資金、分散、売る条件を確認""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""AIの未来より先に、自分のルールを決める""}]",business_default
30,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ5: 3コマ: 上・中・下の3段構成
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「私なら、資産全体の一部で試します」
2コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「それが長く続けるための距離感だ」
3コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］生活資金、分散、売る条件を確認
3コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］AIの未来より先に、自分のルールを決める","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""私なら、資産全体の一部で試します""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""それが長く続けるための距離感だ""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""生活資金、分散、売る条件を確認""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""AIの未来より先に、自分のルールを決める""}]",business_default
31,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ1: 1コマ: ページ全体を使った大ゴマ
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］巨大なデータセンターと設備投資の数字が示される
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「成長にはお金も電力も必要」
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「焦りではなく、判断軸を作ろう」
1コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］AI株投資の旅が始まる","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""巨大なデータセンターと設備投資の数字が示される""}, {""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""成長にはお金も電力も必要""}, {""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""焦りではなく、判断軸を作ろう""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""AI株投資の旅が始まる""}]",business_default
32,テンプレ2,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ2: 2コマ: 上下に均等2分割
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「AIって聞くと、全部伸びそうに見えます」
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「伸びる業界でも、利益を取れる会社は限られる」
2コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］クラウドの論点を三つに分ける
2コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「買う前に、見る場所があるんですね」","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""AIって聞くと、全部伸びそうに見えます""}, {""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""伸びる業界でも、利益を取れる会社は限られる""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""クラウドの論点を三つに分ける""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""買う前に、見る場所があるんですね""}]",business_default
33,テンプレ6,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ6: 3コマ: 上段1コマ + 下段左右2コマ。読み順は上段、下段右、下段左
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「AIって聞くと、全部伸びそうに見えます」
2コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「伸びる業界でも、利益を取れる会社は限られる」
3コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］クラウドの論点を三つに分ける
3コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「買う前に、見る場所があるんですね」","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""AIって聞くと、全部伸びそうに見えます""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""伸びる業界でも、利益を取れる会社は限られる""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""クラウドの論点を三つに分ける""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""買う前に、見る場所があるんですね""}]",business_default
34,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ3: 2コマ: 上段小、下段大
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「AIって聞くと、全部伸びそうに見えます」
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「伸びる業界でも、利益を取れる会社は限られる」
2コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］クラウドの論点を三つに分ける
2コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「買う前に、見る場所があるんですね」","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""AIって聞くと、全部伸びそうに見えます""}, {""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""伸びる業界でも、利益を取れる会社は限られる""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""クラウドの論点を三つに分ける""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""買う前に、見る場所があるんですね""}]",business_default
35,テンプレ7,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ7: 3コマ: 上段左右2コマ + 下段1コマ。読み順は上段右、上段左、下段
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「数字を見よう。売上、利益率、現金、設備投資だ」
2コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「株価だけ見ていたら気づけませんでした」
3コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］強気・標準・弱気の三つのシナリオ
3コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］期待を数字にすると、投資額も見えてくる","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""数字を見よう。売上、利益率、現金、設備投資だ""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""株価だけ見ていたら気づけませんでした""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""強気・標準・弱気の三つのシナリオ""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""期待を数字にすると、投資額も見えてくる""}]",business_default
36,テンプレ4,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ4: 2コマ: 上段大、下段小
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「数字を見よう。売上、利益率、現金、設備投資だ」
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「株価だけ見ていたら気づけませんでした」
2コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］強気・標準・弱気の三つのシナリオ
2コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］期待を数字にすると、投資額も見えてくる","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""数字を見よう。売上、利益率、現金、設備投資だ""}, {""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""株価だけ見ていたら気づけませんでした""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""強気・標準・弱気の三つのシナリオ""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""期待を数字にすると、投資額も見えてくる""}]",business_default
37,テンプレ5,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ5: 3コマ: 上・中・下の3段構成
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「数字を見よう。売上、利益率、現金、設備投資だ」
2コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「株価だけ見ていたら気づけませんでした」
3コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］強気・標準・弱気の三つのシナリオ
3コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］期待を数字にすると、投資額も見えてくる","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""数字を見よう。売上、利益率、現金、設備投資だ""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""株価だけ見ていたら気づけませんでした""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""強気・標準・弱気の三つのシナリオ""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""期待を数字にすると、投資額も見えてくる""}]",business_default
38,テンプレ2,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ2: 2コマ: 上下に均等2分割
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「私なら、資産全体の一部で試します」
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「それが長く続けるための距離感だ」
2コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］生活資金、分散、売る条件を確認
2コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］AIの未来より先に、自分のルールを決める","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""私なら、資産全体の一部で試します""}, {""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""それが長く続けるための距離感だ""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""生活資金、分散、売る条件を確認""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""AIの未来より先に、自分のルールを決める""}]",business_default
39,テンプレ6,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ6: 3コマ: 上段1コマ + 下段左右2コマ。読み順は上段、下段右、下段左
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「私なら、資産全体の一部で試します」
2コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「それが長く続けるための距離感だ」
3コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］生活資金、分散、売る条件を確認
3コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］AIの未来より先に、自分のルールを決める","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""私なら、資産全体の一部で試します""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""それが長く続けるための距離感だ""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""生活資金、分散、売る条件を確認""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""AIの未来より先に、自分のルールを決める""}]",business_default
40,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ1: 1コマ: ページ全体を使った大ゴマ
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「私なら、資産全体の一部で試します」
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「それが長く続けるための距離感だ」
1コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］生活資金、分散、売る条件を確認
1コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］AIの未来より先に、自分のルールを決める","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""私なら、資産全体の一部で試します""}, {""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""それが長く続けるための距離感だ""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""生活資金、分散、売る条件を確認""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""AIの未来より先に、自分のルールを決める""}]",business_default
41,テンプレ1,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ1: 1コマ: ページ全体を使った大ゴマ
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］AI機能を追加した業務ソフトを比較する
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「便利さが追加料金に変わるかが勝負」
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「焦りではなく、判断軸を作ろう」
1コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］AI株投資の旅が始まる","[{""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""AI機能を追加した業務ソフトを比較する""}, {""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""便利さが追加料金に変わるかが勝負""}, {""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""焦りではなく、判断軸を作ろう""}, {""panel_id"": 1, ""type"": ""narration"", ""speaker"": null, ""text"": ""AI株投資の旅が始まる""}]",business_default
42,テンプレ3,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ3: 2コマ: 上段小、下段大
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「AIって聞くと、全部伸びそうに見えます」
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「伸びる業界でも、利益を取れる会社は限られる」
2コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］ソフトウェアの論点を三つに分ける
2コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「買う前に、見る場所があるんですね」","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""AIって聞くと、全部伸びそうに見えます""}, {""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""伸びる業界でも、利益を取れる会社は限られる""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""ソフトウェアの論点を三つに分ける""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""買う前に、見る場所があるんですね""}]",business_default
43,テンプレ7,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ7: 3コマ: 上段左右2コマ + 下段1コマ。読み順は上段右、上段左、下段
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「AIって聞くと、全部伸びそうに見えます」
2コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「伸びる業界でも、利益を取れる会社は限られる」
3コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］ソフトウェアの論点を三つに分ける
3コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「買う前に、見る場所があるんですね」","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""AIって聞くと、全部伸びそうに見えます""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""伸びる業界でも、利益を取れる会社は限られる""}, {""panel_id"": 3, ""type"": ""narration"", ""speaker"": null, ""text"": ""ソフトウェアの論点を三つに分ける""}, {""panel_id"": 3, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""買う前に、見る場所があるんですね""}]",business_default
44,テンプレ4,"◆【注意】【】で囲まれた単語は感情や状況の指示であり、画像内に文字として描画しないでください
◆【絶対最優先】必ずフルカラーにしてください
◆【絶対最優先】必ず日本のアニメ・マンガ調のイラストで描いてください。実写風・フォトリアル風は禁止です。
◆【出力サイズ】2:3
◆【補足情報】上下左右に50ピクセルの余白を設けてください
◆【コマ構成】テンプレ4: 2コマ: 上段大、下段小
◆【作画】日本のビジネスマンガ調。清潔感のある線、落ち着いた色調、投資判断を煽らない実務的な演出。
◆【ストーリー】
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「AIって聞くと、全部伸びそうに見えます」
1コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: 高橋の吹き出しに「伸びる業界でも、利益を取れる会社は限られる」
2コマ目: 投資判断の要点を図解・情景で見せる。ナレーション: ［四角枠］ソフトウェアの論点を三つに分ける
2コマ目: ミナミと高橋がAI株投資の判断軸を会話する。セリフ: ミナミの吹き出しに「買う前に、見る場所があるんですね」","[{""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""AIって聞くと、全部伸びそうに見えます""}, {""panel_id"": 1, ""type"": ""dialogue"", ""speaker"": ""高橋"", ""text"": ""伸びる業界でも、利益を取れる会社は限られる""}, {""panel_id"": 2, ""type"": ""narration"", ""speaker"": null, ""text"": ""ソフトウェアの論点を三つに分ける""}, {""panel_id"": 2, ""type"": ""dialogue"", ""speaker"": ""ミナミ"", ""text"": ""買う前に、見る場所があるんですね""}]",business_default
